수집시각,순위,영화명,개봉일,예매율,예매관객수,누적관객수
2026-08-28 19:19:34,1,오디세이,2026-08-05,67.4%,"556,605","7,806,312"
2026-08-28 19:19:34,2,스파이더맨: 브랜드 뉴 데이,2026-07-29,8.6%,"71,363","8,297,959"
2026-08-28 19:19:34,3,경주기행,2026-08-26,3.8%,"31,607","67,421"
2026-08-28 19:19:34,4,암살자(들),2026-09-23,2.8%,"22,999",0
2026-08-28 19:19:34,5,오크 스트리트의 마지막 날,2026-08-26,2.4%,"19,449","43,966"
2026-08-28 19:19:34,6,비광,2026-09-02,2.2%,"18,450","1,795"
2026-08-28 19:19:34,7,사랑의 하츄핑: 고래보석의 전설,2026-08-05,1.2%,"10,207","798,969"
2026-08-28 19:19:34,8,인턴,2026-09-16,1.0%,"7,899",0
2026-08-28 19:19:34,9,인시디어스: 그들이 넘어왔다,2026-08-20,0.8%,"6,670","126,204"
2026-08-28 19:19:34,10,싱 어게인,2026-09-02,0.8%,"6,342","1,389"
2026-08-28 19:19:34,11,극장판 귀멸의 칼날: 무한성편,재개봉일 : 2026-08-26 2025-08-22,0.7%,"5,492","5,818,119"
2026-08-28 19:19:34,12,명탐정 코난: 하이웨이의 타천사,2026-08-12,0.7%,"5,388","382,404"
2026-08-28 19:19:34,13,고스트밴드,2026-08-26,0.6%,"5,135","5,842"
2026-08-28 19:19:34,14,오케이 마담2,2026-08-12,0.4%,"3,586","323,938"
2026-08-28 19:19:34,15,마루 밑 아리에티,재개봉일 : 2026-08-19 2010-09-09,0.4%,"3,442","1,090,742"
2026-08-28 19:19:34,16,인 더 그레이,2026-09-02,0.4%,"3,341",156
2026-08-28 19:19:34,17,터치드 콘서트 [하이라이트 포] : 더 무비,2026-08-26,0.4%,"3,084","1,161"
2026-08-28 19:19:34,18,극장판 기븐 – 바다로,2026-08-26,0.4%,"2,994","2,321"
2026-08-28 19:19:34,19,어떻게 해야 했을까?,2026-07-29,0.3%,"2,351","88,699"
2026-08-28 19:19:34,20,도그 스타: 마지막 희망,2026-08-26,0.3%,"2,127","4,740"
2026-08-28 19:19:34,21,포가튼 아일랜드,2026-09-23,0.2%,"2,006",0
2026-08-28 19:19:34,22,퍼피 구조대: 더 다이노 무비,2026-08-13,0.2%,"1,897","97,904"
2026-08-28 19:19:34,23,드라큘라: 러브 테일,2026-08-26,0.2%,"1,869","6,811"
2026-08-28 19:19:34,24,옵세션,2026-09-02,0.2%,"1,810",782
2026-08-28 19:19:34,25,핵소 고지,재개봉일 : 2026-09-02 2017-02-22,0.2%,"1,788","178,780"
2026-08-28 20:21:08,1,오디세이,2026-08-05,67.5%,"564,305","7,806,312"
