수집시각,날짜,관객수,누적관객수,무료관객수,스크린수,상영횟수,매출액,누적매출액
2026-09-02 10:18:58,2026-09-02,2349,2505,54,135,246,17916060,19320060
2026-09-02 11:31:46,2026-09-02,2414,2570,57,137,254,18562660,19966660
2026-09-02 12:31:45,2026-09-02,2499,2655,60,140,259,19355360,20759360
2026-09-02 13:32:56,2026-09-02,2568,2724,58,143,265,20028260,21432260
2026-09-02 17:48:35,2026-09-02,2814,2970,66,148,285,22551260,23955260
2026-09-02 18:31:50,2026-09-02,2844,3000,66,149,287,22860260,24264260
2026-09-02 19:17:02,2026-09-02,2872,3028,66,150,288,23154560,24558560
2026-09-02 20:11:36,2026-09-02,2909,3065,68,151,289,23567060,24971060
2026-09-03 10:31:43,2026-09-03,876,3991,20,121,201,6830800,32305160
2026-09-03 11:49:39,2026-09-03,918,4033,24,123,205,7253500,32727860
2026-09-03 12:31:52,2026-09-03,969,4084,24,129,217,7773000,33247360
2026-09-03 13:31:49,2026-09-03,1017,4132,26,132,225,8290400,33764760
2026-09-03 14:31:46,2026-09-03,1068,4183,28,136,231,8806900,34281260
2026-09-03 15:31:48,2026-09-03,1135,4250,31,141,241,9479400,34953760
2026-09-03 16:31:47,2026-09-03,1208,4323,33,145,251,10198900,35673260
2026-09-03 17:31:49,2026-09-03,1242,4357,36,147,255,10551300,36025660
2026-09-03 18:31:44,2026-09-03,1255,4370,34,150,261,10689100,36163460
2026-09-03 19:31:48,2026-09-03,1286,4401,35,149,264,11032800,36507160
2026-09-03 20:31:57,2026-09-03,1316,4431,36,149,268,11350800,36825160
2026-09-03 21:32:19,2026-09-03,1327,4442,36,149,267,11451300,36925660
2026-09-03 22:32:06,2026-09-03,1336,4451,36,152,271,11545300,37019660
2026-09-03 23:31:45,2026-09-03,1338,4453,36,152,271,11571300,37045660
2026-09-04 00:31:52,2026-09-04,621,5074,15,103,147,4961120,42006780
2026-09-04 01:31:51,2026-09-04,626,5079,15,105,149,5013420,42059080
2026-09-04 02:31:50,2026-09-04,623,5076,15,106,150,4987920,42033580
2026-09-04 03:31:48,2026-09-04,622,5075,15,106,150,4997920,42043580
2026-09-04 04:31:49,2026-09-04,625,5078,15,107,151,5023420,42069080
2026-09-04 05:31:50,2026-09-04,627,5080,16,107,151,5038420,42084080
2026-09-04 06:31:49,2026-09-04,627,5080,17,109,154,5021420,42067080
2026-09-04 07:31:50,2026-09-04,637,5090,16,109,155,5143920,42189580
2026-09-04 08:31:50,2026-09-04,648,5101,16,110,158,5253920,42299580
2026-09-04 09:31:54,2026-09-04,671,5124,16,109,158,5464620,42510280
2026-09-04 10:32:06,2026-09-04,710,5163,18,116,170,5843280,42888940
2026-09-04 11:31:45,2026-09-04,745,5198,17,122,182,6181280,43226940
2026-09-04 12:31:43,2026-09-04,783,5236,18,127,193,6576040,43621700
2026-09-04 13:31:54,2026-09-04,829,5282,16,128,197,7025640,44071300
2026-09-04 14:31:52,2026-09-04,894,5347,19,132,207,7695740,44741400
2026-09-04 15:31:53,2026-09-04,941,5394,19,135,213,8190840,45236500
2026-09-04 16:32:16,2026-09-04,1019,5472,18,137,218,9030340,46076000
2026-09-04 18:31:52,2026-09-04,1094,5547,19,141,231,9834140,46879800
2026-09-04 19:31:53,2026-09-04,1128,5581,20,144,238,10204640,47250300
2026-09-04 20:31:58,2026-09-04,1174,5627,20,147,242,10715740,47761400
2026-09-04 21:31:59,2026-09-04,1215,5668,20,147,246,11158740,48204400
2026-09-04 22:32:03,2026-09-04,1234,5687,20,148,248,11378840,48424500
2026-09-04 23:32:00,2026-09-04,1241,5694,20,148,249,11452840,48498500
2026-09-05 00:31:57,2026-09-05,972,6668,23,122,149,7634060,56162560
2026-09-05 01:31:54,2026-09-05,983,6679,22,122,149,7752860,56281360
